//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 4897.70000002328
PositionY = 9097.90000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
 1.63930E+03	 1.58358E+03
 1.64172E+03	 1.58784E+03
 1.64414E+03	 1.58434E+03
 1.64656E+03	 1.58254E+03
 1.64897E+03	 1.58108E+03
 1.65139E+03	 1.58564E+03
 1.65381E+03	 1.58296E+03
 1.65622E+03	 1.58608E+03
 1.65864E+03	 1.58330E+03
 1.66105E+03	 1.58380E+03
 1.66346E+03	 1.58766E+03
 1.66588E+03	 1.58168E+03
 1.66829E+03	 1.58434E+03
 1.67070E+03	 1.58914E+03
 1.67311E+03	 1.58564E+03
 1.67552E+03	 1.58588E+03
 1.67793E+03	 1.58452E+03
 1.68034E+03	 1.58512E+03
 1.68274E+03	 1.58756E+03
 1.68515E+03	 1.58780E+03
 1.68756E+03	 1.58810E+03
 1.68996E+03	 1.58984E+03
 1.69236E+03	 1.58760E+03
 1.69477E+03	 1.58436E+03
 1.69717E+03	 1.58752E+03
 1.69957E+03	 1.58390E+03
 1.70197E+03	 1.58272E+03
 1.70438E+03	 1.58634E+03
 1.70678E+03	 1.58404E+03
 1.70917E+03	 1.58312E+03
 1.71157E+03	 1.58108E+03
 1.71397E+03	 1.58514E+03
 1.71637E+03	 1.58250E+03
 1.71876E+03	 1.58268E+03
 1.72116E+03	 1.58380E+03
 1.72355E+03	 1.58060E+03
 1.72595E+03	 1.58052E+03
 1.72834E+03	 1.57870E+03
 1.73073E+03	 1.58008E+03
 1.73313E+03	 1.57448E+03
 1.73552E+03	 1.57120E+03
 1.73791E+03	 1.57312E+03
 1.74030E+03	 1.57008E+03
 1.74269E+03	 1.57012E+03
 1.74507E+03	 1.56756E+03
 1.74746E+03	 1.57630E+03
 1.74985E+03	 1.57676E+03
 1.75224E+03	 1.57670E+03
 1.75462E+03	 1.57238E+03
 1.75701E+03	 1.57444E+03
 1.75939E+03	 1.57470E+03
 1.76177E+03	 1.57640E+03
 1.76415E+03	 1.57228E+03
 1.76654E+03	 1.56996E+03
 1.76892E+03	 1.57898E+03
 1.77130E+03	 1.57708E+03
 1.77368E+03	 1.57400E+03
 1.77606E+03	 1.57226E+03
 1.77843E+03	 1.57898E+03
 1.78081E+03	 1.57718E+03
 1.78319E+03	 1.57962E+03
 1.78556E+03	 1.57608E+03
 1.78794E+03	 1.57296E+03
 1.79031E+03	 1.57838E+03
 1.79269E+03	 1.57438E+03
 1.79506E+03	 1.57582E+03
 1.79743E+03	 1.57682E+03
 1.79981E+03	 1.57410E+03
 1.80218E+03	 1.57326E+03
 1.80455E+03	 1.57602E+03
 1.80692E+03	 1.57392E+03
 1.80928E+03	 1.57712E+03
 1.81165E+03	 1.57446E+03
 1.81402E+03	 1.57406E+03
 1.81639E+03	 1.57354E+03
 1.81875E+03	 1.57274E+03
 1.82112E+03	 1.57444E+03
 1.82348E+03	 1.56906E+03
