//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5519.10000002328
PositionY = 9406.00000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
 1.23465E+03	 1.47818E+03
 1.23720E+03	 1.47678E+03
 1.23974E+03	 1.47868E+03
 1.24229E+03	 1.47640E+03
 1.24483E+03	 1.47280E+03
 1.24737E+03	 1.47320E+03
 1.24992E+03	 1.47418E+03
 1.25246E+03	 1.47384E+03
 1.25500E+03	 1.47526E+03
 1.25754E+03	 1.47350E+03
 1.26008E+03	 1.47198E+03
 1.26261E+03	 1.47790E+03
 1.26515E+03	 1.47606E+03
 1.26769E+03	 1.47718E+03
 1.27022E+03	 1.47606E+03
 1.27276E+03	 1.47682E+03
 1.27529E+03	 1.47728E+03
 1.27783E+03	 1.47386E+03
 1.28036E+03	 1.47754E+03
 1.28289E+03	 1.47466E+03
 1.28542E+03	 1.47540E+03
 1.28795E+03	 1.47392E+03
 1.29048E+03	 1.47694E+03
 1.29301E+03	 1.47938E+03
 1.29554E+03	 1.47592E+03
 1.29806E+03	 1.47498E+03
 1.30059E+03	 1.47382E+03
 1.30311E+03	 1.47670E+03
 1.30564E+03	 1.47594E+03
 1.30816E+03	 1.47522E+03
 1.31069E+03	 1.48052E+03
 1.31321E+03	 1.47918E+03
 1.31573E+03	 1.47830E+03
 1.31825E+03	 1.48100E+03
 1.32077E+03	 1.47614E+03
 1.32329E+03	 1.47472E+03
 1.32581E+03	 1.48112E+03
 1.32832E+03	 1.47908E+03
 1.33084E+03	 1.47878E+03
 1.33336E+03	 1.47880E+03
 1.33587E+03	 1.47842E+03
 1.33838E+03	 1.48062E+03
 1.34090E+03	 1.48142E+03
 1.34341E+03	 1.48002E+03
 1.34592E+03	 1.48026E+03
 1.34843E+03	 1.48106E+03
 1.35094E+03	 1.47902E+03
 1.35345E+03	 1.48002E+03
 1.35596E+03	 1.48030E+03
 1.35847E+03	 1.48278E+03
 1.36098E+03	 1.48496E+03
 1.36348E+03	 1.48136E+03
 1.36599E+03	 1.48502E+03
 1.36849E+03	 1.48574E+03
 1.37100E+03	 1.48222E+03
 1.37350E+03	 1.48670E+03
 1.37600E+03	 1.48378E+03
 1.37850E+03	 1.48160E+03
 1.38100E+03	 1.48276E+03
 1.38350E+03	 1.48142E+03
 1.38600E+03	 1.48064E+03
 1.38850E+03	 1.48486E+03
 1.39100E+03	 1.48270E+03
 1.39350E+03	 1.48262E+03
 1.39599E+03	 1.48042E+03
 1.39849E+03	 1.47912E+03
 1.40098E+03	 1.47812E+03
 1.40348E+03	 1.48528E+03
 1.40597E+03	 1.47718E+03
 1.40846E+03	 1.48386E+03
 1.41095E+03	 1.48228E+03
 1.41344E+03	 1.47914E+03
 1.41593E+03	 1.47894E+03
 1.41842E+03	 1.48080E+03
 1.42091E+03	 1.47856E+03
 1.42340E+03	 1.47908E+03
 1.42588E+03	 1.47838E+03
 1.42837E+03	 1.47844E+03
 1.43086E+03	 1.47942E+03
 1.43334E+03	 1.47866E+03
 1.43582E+03	 1.47504E+03
 1.43831E+03	 1.47854E+03
 1.44079E+03	 1.47494E+03
